node	ismarine
n322	True
n593	True
n609609	True
n678678	True
Callionymus_filamentosus	True
Mullus_surmuletus	False
Glaucosoma_buergeri	True
Glaucosoma_scapulare	True
Brachaluteres_jacksonianus	True
n684684	True
n686	True
Stephanolepis_auratus	True
n689689	True
n690690	False
n692	False
n693693	False
n699	False
Xenotilapia_ochrogenys	False
n756	False
n771	False
n781	False
n792	False
n798	False
n800	False
n801801	True
Reicheltia_halsteadi	True
Tetractenos_glaber	False
Tetractenos_hamiltoni	True
n810	True
Alloclinus_holderi	True
Auchenionchus_microcirrhis	True
n854854	True
n867867	False
Ponticola_cephalargoides	False
Apletodon_dentatus	False
n912	True
n915915	True
n933933	True
Istiblennius_dussumieri	False
Istiblennius_lineatus	True
n949949	True
Cirripectes_quagga	True
n956	False
n959959	False
n960960	False
Smilosicyopus_chloe	False
n968968	True
Coryphopterus_personatus	True
Sargocentron_spiniferum	True
Sargocentron_tiere	True
n1414	False
Gnathopogon_herzensteini	False
Pseudorasbora_parva	False
Pungtungia_herzi	False
n32	False
n36	False
n3838	False
Pseudohemiculter_dispar	False
Hemiculter_lucidus	False
Pseudolaubuca_engraulis	False
n47	False
n4848	False
Mylopharyngodon_piceus	False
Ochetobius_elongatus	False
n56	False
n9393	False
n109109	False
n110110	False
n113113	False
Richardsonius_egregius	False
Clinostomus_funduloides	False
Mylocheilus_caurinus	False
Phoxinus_phoxinus	False
Rhynchocypris_percnurus	False
Ameiurus_nebulosus	False
n135135	False
Corydoras_rabauti	False
Kryptopterus_minor	False
Leiarius_pictus	False
Microglanis_iheringi	False
Gagata_dolichonema	False
Glyptothorax_trilineatus	False
n151	False
Chalceus_macrolepidotus	False
n158158	False
n220220	False
n221221	False
Garra_kempi	False
Garra_mirofrontis	False
n228	False
n239239	False
n258	False
Danio_erythromicron	False
Danio_margaritatus	False
n261	False
n261261	False
n268268	False
n269	False
Devario_aequipinnatus	False
n271271	False
n279	False
n282282	False
Chrysiptera_cyanea	True
Lichia_amia	False
n313	True
Chromis_limbata	True
n322322	True
Campellolebias_brucei	False
n593593	True
n604	False
n610	True
n670670	True
n679	True
Canthigaster_amboinensis	True
Dactyloptena_orientalis	True
Dactylopterus_volitans	True
Chaetodermis_penicilligerus	True
n686686	True
n690	True
Pholis_gunnellus	True
n691	False
Zoarces_viviparus	False
n692692	False
Myoxocephalus_scorpius	False
Cyclopterus_lumpus	True
n694	False
n699699	False
Lamprologus_callipterus	False
n756756	False
Renova_oscari	False
n771771	False
n776776	False
n781781	False
Pituna_poranga	False
n792792	False
n795	False
n798798	False
n799	False
Marilyna_darwinii	False
Pomadasys_perotaei	False
Polyspina_piosae	True
n802	True
n810810	True
n851851	True
n855	True
n857857	True
n868	False
n911	False
n912912	True
Lepadogaster_lepadogaster	True
n916	True
Praealticus_caesius	True
n934	True
Petroscirtes_mitratus	True
n950	True
Cirripectes_filamentosus	True
n956956	False
Sicyopus_zosterophorus	False
Sicyopterus_lagocephalus	False
Sicyopterus_pugnans	False
n961	False
Sicydium_plumieri	False
n969	True
n976976	True
n15	False
Coreoleuciscus_splendidus	False
n3232	False
n34	False
Paralaubuca_barroni	False
n3636	False
n39	False
n42	False
n4747	False
Yaoshanicus_arcus	False
Hypophthalmichthys_molitrix	False
Macrochirichthys_macrochirus	False
n5656	False
n8989	False
n94	False
n102102	False
Campostoma_anomalum	False
n110	False
Dionda_melanops	False
n111	False
n114	False
Iotichthys_phlegethontis	False
Diplomystes_nahuelbutaensis	False
Parailia_pellucida	False
Astyanax_mexicanus	False
Paracheirodon_innesi	False
n159	False
n183	False
Garra_fasciacauda	False
Garra_micropulvinus	False
n222	False
Garra_nasuta	False
n228228	False
n232232	False
n240	False
n257257	False
Gyrinocheilus_aymonieri	False
Gyrinocheilus_pennocki	False
Danio_dangila	False
Danio_meghalayensis	False
Danio_kyathit	False
Danio_tinwini	False
Chela_cachius	False
Devario_annandalei	False
n269269	False
n270	False
n272	False
Devario_shanensis	False
n279279	False
Labeo_batesii	False
n283	False
Cirrhinus_microlepis	False
n313313	True
Stegastes_gascoynei	True
n323	True
n585585	True
n594	True
n598	True
n604604	False
